Local,Preu,Direcció,Districte,Coordenades,Link,Data
Bar Restaurant L'Illa del Mar,"2,50 €","Av. Diagonal, 12, 16, Sant Martí, 08019 Barcelona",Sant Martí,"41.410819989569795, 2.2158731540256125",https://maps.app.goo.gl/KtM5HEzCwH41KW6L6,26/06/24
BAR TAPAS 23,"2,10 €","Carrer de Joan Torras, 30, Sant Andreu, 08030 Barcelona",Sant Andreu,"41.437656211447866, 2.1924420736224084",https://maps.app.goo.gl/HP5fstkFVx3oJfji6,29/06/24
PETITA LLUM Café&Bar,"2,30 €","Av. del Bogatell, 65, local, Sant Martí, 08005 Barcelona",Sant Martí,"41.39266024255506, 2.191322493601034",https://maps.app.goo.gl/KWNLu3ntw1YSc84z5,3/04/25
Polosko Tapas Bar,"2,30 €","Carrer de Vèlia, 32, Nou Barris, 08016 Barcelona",Nou Barris,"41.42984843983926, 2.180947949027388",https://maps.app.goo.gl/yrpcMiXN8zNEzdVRA,4/04/25
Cafetería Facultad de FiQ,"1,73 €","Carrer de Martí i Franquès, 1, Les Corts, 08028 Barcelona",Les Corts,"41.38455563308421, 2.1168444221682354",https://maps.app.goo.gl/smGJNy1zJn7YB6XSA,26/04/25
Clau Bar,"2,30 €",,Eixample,"41.377604, 2.153050",https://maps.app.goo.gl/owGpgUFQATPBv3gw8,2/07/25
Bar Can Toni,"2,50 €",,Eixample,"41.3779492777594, 2.1557007438049025",https://maps.app.goo.gl/9csCS3fEX6wvTtqeA,2/07/25
La Granjeta,"2,30 €",,Sant Martí,"41.4078293, 2.1885578",https://maps.app.goo.gl/JsZMM4gdVL88Cnr59,5/07/25
Bar Urquinaona,"2,80 €",,Eixample,"41.38919911012027, 2.173888374486536",https://maps.app.goo.gl/SE39uYp2KGSEzzMQ8,7/07/25
Bar Onagus,"3,00 €",,Eixample,"41.38068908827484, 2.1714526422723317",https://maps.app.goo.gl/842es3qad4Q37QVe8,7/07/25
Bar Veni,"3,40 €",,Ciutat Vella,"41.3849322, 2.1667726",https://maps.app.goo.gl/AjXGhLNwV6SML8fb9?g_st=ipc,8/07/25
Breik,"2,80 €",,Ciutat Vella,"41.3850884, 2.1661054",https://maps.app.goo.gl/fq7NU3ekqbnv8TQa6?g_st=ipc,8/07/25
Santa Vegana,"3,90 €",,Ciutat Vella,"41.3803236, 2.1770807",https://maps.app.goo.gl/zCcJvQo4Dka928eP7?g_st=ipc,9/07/25
Navia,"3,15 €",,Ciutat Vella,"41.3846701, 2.1847588",https://maps.app.goo.gl/mVF7GZBEtzq7qCeq7?g_st=ipc,16/07/25
Vins PER TU,"2,80 €",,Sant Martí,"41.40738530523843, 2.187897193164582",https://maps.app.goo.gl/ofLhPX8SD7jn8Wqi6,18/07/25
The Moon,"4,00 €",,Eixample,"41.3835927, 2.1591534",https://maps.app.goo.gl/FLXr87dqZeRuUiUs5,18/07/25
Preet Tandori,"2,50 €",,Ciutat Vella,"41.37851973428091, 2.171562257068354",https://maps.app.goo.gl/mmxnAqCff7GWN9GbA,18/07/25
Terra Mar,"2,40 €",,Sant Martí,"41.397093026376574, 2.201813520378062",https://maps.app.goo.gl/957TuTRdLaNqN8s76,18/07/25
El Petit Brunch,"2,40 €",,Sant Andreu,"41.43407433162625, 2.189253029753489",https://maps.app.goo.gl/w1vs8FaL2S4bvfPV7,18/07/25
Bodega Casas,"2,50 €",,Gràcia,"41.40841108454631, 2.1598342373248305",https://maps.app.goo.gl/KGf4BYq6o6XhKqGC7,18/07/25
Bar Palxoca,"2,40 €",,Sant Andreu,"41.4329510, 2.1857918",https://maps.app.goo.gl/5kUE4drFwkoLp2F78,23/07/25
Mescladis,"2,50 €",,Ciutat Vella,"41.38742822405244, 2.1802920846583715",https://maps.app.goo.gl/twqWWoCEjAdFFyKJ6?g_st=ipc,23/07/25
Pico Fino,"2,50 €",,Sant Andreu,"41.42551406943567, 2.188341075637369",https://maps.app.goo.gl/HSiKHe9tcxv34rea7,24/07/25
Priscilla Cafè,"3,50 €",,Eixample,"41.387679513640734, 2.1609206414915123",https://maps.app.goo.gl/eWkwxQZdsyRM4rpq5,27/07/25
Henry's Bar,"3,00 €",,Sant Martí,"41.40276087581962, 2.1970035491753745",https://maps.app.goo.gl/oV5wa7ZCuKx4sQsQA,27/07/25
Bar Filmax,"2,50 €",,Ciutat Vella,"41.37905377644506, 2.171234952827559",https://maps.app.goo.gl/x3ZACbT3TpMmiS2V6?g_st=ipc,28/07/25
NEXT LEVEL Arcade Bar,"4,00 €",,Horta-Guinardó,"41.420345194139564, 2.1802367796445576",https://maps.app.goo.gl/zhaWRGXfEmAwku9S9,1/08/25
Bar Neptuno Cerveceria,"2,30 €",,Sant Andreu,"41.42134822435651, 2.180078304902375",https://maps.app.goo.gl/UMYcTRJSCHsZQ5ATA,1/08/25
Alquimia Barcelona,"3,50 €",,Eixample,"41.389400922570054, 2.1578379655778788",https://maps.app.goo.gl/a4v8effteG6uhK5r5,10/08/25
La Taberna del Espit BCN,"3,00 €",,Eixample,"41.389446163537215, 2.1577442959318036",https://maps.app.goo.gl/EYtysgfRPUJpr33t6,10/08/25
La Taska Show Bar,"3,20 €",,Eixample,"41.391914073949124, 2.1503336600299194",https://maps.app.goo.gl/zerAzbsr92ciegtC9,10/08/25
Cerveseria Universitat,"2,90 €",,Eixample,"41.38621714871622, 2.164671889588128",https://maps.app.goo.gl/qasZgm8WTw6KbkJS9,10/08/25
Candy Darling,"3,50 €",,Eixample,"41.3850660, 2.1629340",https://maps.app.goo.gl/JbQfPSSTsMtztknH8,10/08/25
Nou Racó 169,"3,00 €",,Eixample,"41.391807725960426, 2.1501417595533496",https://maps.app.goo.gl/JZuGCQhp2t9GYyCT6,10/08/25
Bar XIKI,"3,00 €",,Ciutat Vella,"41.38370375500153, 2.183709671776288",https://maps.app.goo.gl/u4DHMVruf38Dyeuv5,28/08/25
MINI BAR,"2,40 €",,Eixample,"41.38304241775819, 2.159306754853844",https://maps.app.goo.gl/rWCTRtJ2aTwyB6L49,28/08/25
Narciso,"3,70 €",,Ciutat Vella,"41.38457586783861, 2.1793920901793804",https://maps.app.goo.gl/W72tcsxcGaYmyVA88,28/08/25
La Mansión,"3,00 €",,Sants-Montjuïc,"41.3792225, 2.1380958",https://maps.app.goo.gl/QcZfE7zpPGsbkegF9,29/08/25
AK Bar,"3,20 €",,Sant Martí,"41.40799446310004, 2.1862086821619613",https://maps.app.goo.gl/6KFgcPy1XeCugDKm8,31/08/25
Restaurant Sol,"2,40 €",,Sant Martí,"41.41087498423162, 2.1892602920144895",https://maps.app.goo.gl/GdXq64QL8dtkqY4s6,31/08/25
